address,ion-total
osmo123kc3cfvh2epdughwhv9r98y8hl4l3qh3hzgu0,1.0
osmo123nfq6m8f88m4g3sky570unsnk4zng4uqv7cm8,3e-06
osmo124j89uq3e4k98qeve2ens83v62a9x5hnngtw9v,2e-06
osmo124maqmcqv8tquy764ktz7cu0gxnzfw5477tt5x,10.0
osmo124tztqwj5lkf434pq9jjcxykda2mn9648hyh30,0.539931
osmo1254988hlhrpakkxjxd3umsyp85fwufpyy4zgd4,0.199804
osmo1257z002rhrcudd5468zh4ve25uq0mf0c7u2y08,1.0
osmo125cc5xqzt6m66zu8cmf64wxh2vsx0cvfp8ar87,0.041691
osmo125cn7aw3kz9dctf95rwf5mp0pgnpm0u9jd6gck,0.921427
osmo125nzdjndr6g8sy4z999qllpre9xyzdujp75vf8,0.496679
osmo125s2fr0x3fhzwr8m57x0nv58xv39kv3hufh00j,0.980699
osmo126k337dmgpnsfaqjgzvtmpta3rgpwq5h88959z,0.086326
osmo126s88pyn4ar3cwfx4f3s8h0m0vcsxskz8dzjd5,0.181693
osmo126w0j2uuz77gmh6k9s6s34z3cmyldn8um09kst,0.39931
osmo12736ed7frh0uxwv2tm29qz8v30fe03kqkc4pkc,1e-06
osmo1273zsxhxd5dlgcr2zjf5x25275hjcp3uhl7pj9,1e-06
osmo127ax4kl8kfrjtl20gyvlumqqsxfp66hj0jnxr7,1e-06
osmo127c4cespmkzv6rak0uuflfggp4pzrp37ks3kp0,3.042271
osmo127hgjjrst9mngejd4l4wprnnppwl6e22juz3aj,0.009193
osmo127kucvr2vv9hxujsw45k9ra2kmndh39lduv9jh,0.16842
osmo127pdm2umuvppet63lezvjv5flrvfyjrqsfaf6k,0.469293
osmo1282jkcz8rgers42yqz6xpd6837wvd3avx4caae,0.018176
osmo128twzjec6t5n54mydf5q3cy7jtf2v3agyzvk9k,0.10287
osmo128xpn50a0ncum8w0cf5lcy9vu9793dyuznlxt3,0.000149
osmo128zjnjs237ku8uqn33wyar9lz5uhyfck94quhu,1.007201
osmo128zyy8ku95je5r284zeptgy88mmspcwev4kauc,0.015405
osmo129ekzf5pmmtf2ktkutzpkxch0pedkvq24hzyxa,2.414237
osmo129fsmssvqhmw54kdr7hhxms36fh9wh2hdh806r,0.002449
osmo129rw3gnlk6x9annfw93jk86p55tn7wleenslh8,0.17092
osmo129u9geqpntha0jwal2jrtmazxv98gmaj5quspw,0.883485
osmo129y4a4w6za2k4cshfflkp9sq22n7vwhp8c0a0q,0.012551
osmo12a6z60gx0k3p6p8avlevwr620pd0nesx8wvxg6,9.5e-05
osmo12ae5qvmyyvh8kvdhgv7tdgsg2se0mrujx35pxs,0.049314
osmo12az976k62c4qlsfy0tz2ujtw73vvhpqnr42ryt,0.005841
osmo12c9jmqmmlt5jukgdkkk95sh89lnq7drduv8x0q,0.129889
osmo12cp4ln8xeutas3kl9vv49khq8nyrmxfma89rvc,0.200286
osmo12d8gk9hdnvnrryvnr25xqc27cshalh5qd7gh5k,1.070627
osmo12dcn0w3km74rg8ygje0zd0rqmwu9448uvqld2h,1.0
osmo12de0fannh8kyxh54r8kqc5x8vvvcmrkeu90rjj,0.084751
osmo12dgvvmy8rv2xvudwa2pzygd2mdzjm9jx7r8syf,1e-06
osmo12dvtud0k2ujcy5ydefy5770gpvpxqag9q89x08,0.157761
osmo12e7ryh3z4034zd398lwudmyvkm7hngy5j7kw4w,0.014864
osmo12exmmu65tpupls4hug5mc4un393dzcrj5e6mfl,0.896358
osmo12f8p937qhcuvfrwtvqmjtp5c3se4nvk8ew7m8u,0.000199
osmo12fhmhqfmvd5z3cg2hq5q3ms2mxqjrvuvg879z2,0.001653
osmo12fpydvdxp8gu8hs4hceadj90t3as0qkvkzxfu7,0.841398
osmo12fsu5rfdw6qlx3qsrnnrgskmrqzx473grq2mgf,0.002169
osmo12fzwhlnsdk22hksrfvhlew4y2pw9redaheavs8,1.9999
osmo12g2v4a7ej468c023x9f98zl9knddtwq0t78ve2,14.839239
osmo12g9y7pj36q3rfkfvd7emy8fqvmywuweqyd99ka,1.0
osmo12gasm3vr4f2jpeul4d49kmv424sxjznwcmmvjl,0.018967
osmo12ghus5t3dhhxsky8vcfffhjs2kmdst06aamwqj,1.0
osmo12glux0ke2j8f5zd7w6480n6pa0ytle3s5twhrr,1.0
osmo12gskjsuv84g4ulxfffzqlw8s342tuf05e8p64d,2.0
osmo12gyadyzlar4pp5nsgmfadf28td7tjkwkw70uxq,0.003611
osmo12h92f8jjzpdsn8axdecx46zmpny5ksd0z4ugqg,0.557398
osmo12h92lzp5cdwfzlsrcxqeh8jw66fr894008rn0t,0.738037
osmo12hnhnxtej4qqq9072lc2rxva405wpgsr7td20s,3.231491
osmo12hyv6qsvd5ts3pe08l8euccrunmp5ry26k87zq,3.401105
osmo12j2t8qeygt5m588j7pk7uvgdm4n8uc0a3xmz6z,0.004315
osmo12j35j2uzfng79hplp0qgs0hlh0u8sg40rvrxcc,0.011221
osmo12j7qsfq75ujek7apvqf6vl4s3t7c7gsh9jnzts,0.606954
osmo12jmz3cfj748wl8f4jm6fprlkz3gflhuj46kerp,0.017532
osmo12jpf5yducxnd0dms3sxlgcsjejhj6gghvtyw2f,1.0
osmo12k2pyuylm9t7ugdvz67h9pg4gmmvhn5vhakz8x,3e-06
osmo12kc4naxs5anh40tyjphkn2g8ypvvfzvtwh9g0p,0.005901
osmo12kct4cfuwh7vevec7c4y9slmee949qrjanfah9,0.485935
osmo12kg9uwug8g7v6ag00vynwdls5xa7f9x567yhwq,0.006628
osmo12ksk447y8gqhxamzvv6y4nwqhlpdm30yg8ewdm,0.019122
osmo12mdekmt8f9vnrh4ldhmhspsrvlyus68qa8rhe9,0.023317
osmo12n8us22erhxcj0df4hkgrqpfpdppyaeyus072c,0.5
osmo12ncqyj4vvd7v424lmkzahzwxdgnfx8n3tmmkm3,0.084439
