address,osmo-total,ion-total
osmo12gskjsuv84g4ulxfffzqlw8s342tuf05e8p64d,10000.189082,2.0
osmo12gyadyzlar4pp5nsgmfadf28td7tjkwkw70uxq,34.833561,0.003611
osmo12h92f8jjzpdsn8axdecx46zmpny5ksd0z4ugqg,357.223039,0.557398
osmo12h92lzp5cdwfzlsrcxqeh8jw66fr894008rn0t,1520.140934,0.738037
osmo12hnhnxtej4qqq9072lc2rxva405wpgsr7td20s,14684.427622,3.231491
osmo12hyv6qsvd5ts3pe08l8euccrunmp5ry26k87zq,6350.015339,3.401105
osmo12j2t8qeygt5m588j7pk7uvgdm4n8uc0a3xmz6z,2.03,0.004315
osmo12j35j2uzfng79hplp0qgs0hlh0u8sg40rvrxcc,343.6592,0.011221
osmo12j7qsfq75ujek7apvqf6vl4s3t7c7gsh9jnzts,187.253352,0.606954
osmo12jmz3cfj748wl8f4jm6fprlkz3gflhuj46kerp,1414.592299,0.017532
osmo12jpf5yducxnd0dms3sxlgcsjejhj6gghvtyw2f,678.981349,1.0
osmo12k2pyuylm9t7ugdvz67h9pg4gmmvhn5vhakz8x,6.231182,3e-06
osmo12kc4naxs5anh40tyjphkn2g8ypvvfzvtwh9g0p,181.166758,0.005901
osmo12kct4cfuwh7vevec7c4y9slmee949qrjanfah9,5879.102149,0.485935
osmo12kg9uwug8g7v6ag00vynwdls5xa7f9x567yhwq,136.502279,0.006628
osmo12ksk447y8gqhxamzvv6y4nwqhlpdm30yg8ewdm,122.169793,0.019122
osmo12mdekmt8f9vnrh4ldhmhspsrvlyus68qa8rhe9,895.342132,0.023317
osmo12n8us22erhxcj0df4hkgrqpfpdppyaeyus072c,309.826396,0.5
osmo12ncqyj4vvd7v424lmkzahzwxdgnfx8n3tmmkm3,402.071181,0.084439
osmo12pacz5tyulvluu0tl6kld3txhdu70dxg4jj2p7,274.3017,0.963051
osmo12pd6h5xd5gputhctkdxy9zatlpwuej0l7a0agn,3388.907713,0.633238
osmo12pek06px76y2mr2fp7ew4wz8asxv3rpwgvdjww,6597.704963,2.030399
osmo12pnn4zl8cqwd3gedv8ydeq5x5x2pl5uj9gg6hy,19.824049,1.0
osmo12pnnsmcycp5d00gmqjza6wu2qhcyltdr86zrr9,12.937293,0.031677
osmo12q9urhjzrkpkuf4cq2mrhqtqfwgvejtegneqcw,7464.064144,2.0
osmo12qr5w3cxn9ym67095hqmn3ryg5ue5hxdmv0edg,181.274228,0.009588
osmo12rh3luq9gjt6hrne2unv6ndzgy2uucspncpwl9,0.0,0.004406
osmo12rm33yfsm6cqg9n45wseqqctks88jmespju4xw,5500.128344,1.907281
osmo12rp0rj5nw20xu6ullcjvsvuemmp53e7njzhn3m,6826.237123,1.914337
osmo12ryl99et99zhws3xrqc2xq9z0z0vy06wdfqu5n,162.626033,0.002283
osmo12s9hjhadsemrnp6d786y5pzh03ngmvt0r780l2,521.725206,0.388763
osmo12scnajjddcrkskht7mj7qplzxh7zkzfwey0qdd,1433.921152,0.486268
osmo12sczd7vmheqat355txqducgm6fk86ye4eel33f,264022.86308,15.270763
osmo12sm9vfj4m95nr0974kjhjlfx4eyum37h925mez,2560.224933,0.845632
osmo12spx0h0fut2wtsk7jtexe247jnpz7ezwvqxh7u,101.499242,0.407907
osmo12t0jh53ufgw0ept6hkcd5gaqupnpakd4994pr6,75.240771,1.0
osmo12t82zq2wmdccemu3x4mlx2l3ye7rewx5hc8nww,3197.539539,1.103199
osmo12takrk3gtnzvhglyldhnu9pghvqgxt8kvfjg8u,5630.520417,0.909827
osmo12tc02wts4kmjs079zmytn7w5pl32e9xzn3cj3w,371.489147,0.28354
osmo12tdulmvjmsmpaqrpshz0emu0h9sqz5x5vltjjv,471.46855,1.637694
osmo12tkp0de6zwq8p4rvvqaknwexxtx9jxvh637gpf,2.699497,0.001193
osmo12tm47mx4uuzp7sajrt3wnu7e32drdpy8xskgku,46218.151696,1e-06
osmo12tzy3enyqdc6yzdgyqj5lh5adcz4y50c9lttju,48.446643,0.053227
osmo12u4ucpu42s9r0uth4k9hrpzfspdrp4lhpv32rc,56.073807,0.690689
osmo12usue8q9w5mmvuteh0k40h0zzutlm9k0c36am2,32020.116186,4.127958
osmo12uuweyuphf6mlajazkpxke2hxwdfew2wgxz2ws,2405.006353,0.095798
osmo12wmptq2zm3s2d8c0xukwj3fkcl0qw66wmxwr7x,50056.590443,11.492276
osmo12wn2hrsr56ej5fzyk9sfcwpulhyclrzggthz8c,10.097425,7.2e-05
osmo12wsvehxqc9an5da9rlzgv5lwjaa7ccparjdfrl,3807.927045,0.644352
osmo12wtm84yh5t0jmmunvscgj6vl2rs73pau7lg49u,759.663641,1.0
osmo12x4lu5ma6cuqzqys48fmm2fq5ttpzcr8687fqx,401.491447,0.029161
