Address,Genesis Qty,Clawback Qty
osmo14pq3egm63mvzdztkmczml5kfw5ukugzgxq6yd3,2,0.240175
osmo14qmshhxdhc5ze0yzapz2zhhw377gnn6m0fmfq3,2,0.646403
osmo14qw457h2qnnf3fjj6ufyrmm2an74w2xg4nssg2,1,8.123132
osmo14rcn5s80v2fthgzw0pkvkwgke4ss8ew8xw0wml,1,1.22652
osmo14seq6te8p86u0rr6seydc4q7zq0x5asrkgxqhh,1,1.0
osmo14shefcewhhn9ar30kr6zwjtrsxr4ujvzvjs0dp,1,0.05
osmo14ss72catjh0f2jnzmts2mwk3ehpyzd0c3dqdv7,1,1.0
osmo14t8y6agw28wyeflvqdjd3thkazkta6ux6zvc6z,1,1.0
osmo14ualw5s00dhytkfrrptukg6cv8p6s9c6ead35h,3,0.966767
osmo14wzgrgshpwshngsv0eh26e6vhqvhrtap99g6h2,1,0.416957
osmo14wzr7uscha2ucn9tj673tqw3uqx7xnd87uyvj5,2,2.0
osmo14x4yd0m6r7ee6s3zfpvgjal5d7avk98p8jdva7,1,0.896983
osmo14xgdfdnpjtulj6p7rkc75ekxqjq8hc5ckaf8hl,13,11.875429
osmo14yu02qh35pqln6j0tdlzw43c275nhpvt6dy093,2,3.368537
osmo15073885eaa6649xwwug2nxlmcceqwj56uwzhwe,1,1.0
osmo1509pyftumsatauh4aqk7xlt2kckmrfya9mwe48,1,1.0
osmo153pg94s7x34h7peqrey79lte22fl5qxsj9jxkp,1,1.0
osmo153qylh62huvyzvgvlvqmf6kvwjaekekyg9ptry,2,2.0
osmo153ytyptd0vrgq3pq4dz4fvgquxch57zy3vf2ts,2,2.0
osmo155cprx8su89u09kejec2p50pjhlwverkf7e4kp,1,0.25
osmo15628n3l2a8f89s5vr5q3zxy97x3as77wmt4zez,4,2.762753
osmo156e7cm8lsmwcvy5whxs3dd6a4ztrzucrgp698r,1,1.0
osmo1578va5kclnwszexy9z0djx293fffvhh0fpwmm8,1,0.279443
osmo157e54tt6gs32yrwhcnty9h7kuvlwvnzd45vnvl,3,1.441396
osmo157g0sp3wkq8lkywk9aguu266f46np2tllpv00h,1,1.0
osmo158kcen25wcfkymmhjwel2490lmlf4wtdgt7war,1,0.0001
osmo1590ug5m44064w8k8kz2a55sgaryddwx73s9zms,1,0.25
osmo15a84pmu5qa9pps40g7vyzqar0p77mg0ekduya8,3,0.950067
osmo15axchpn3yarrt59ykn2r5sh8qdwmrwty4d948d,2,0.181328
osmo15czt5nhlnvayqq37xun9s9yus0d6y26dw9xnzn,5,5.064751
osmo15en8sl2rhwzx3rjx0yu5nqfcag0h5kcrzjqv27,1,1.0
osmo15f6nvuqsun8ky9tz57dhphleta68hu3pvq5hks,3,1.496092
osmo15fdat3fthge7u8a5s6dakmtmg8wjhg58gzqd5x,2,2.0
osmo15hn9sa2m8mz63g8n0frkef97c2qsx95an4gt78,2,2.0
osmo15hqfu8xc9f7fqrz4ryjsd27umpapf5t7kxxk8u,1,0.5
osmo15njsc4lap2h94xum2xatf9xmex4088u96rg36h,4,4.090456
osmo15s5n453h00tm3jrc2de3mn7r6jwkcg4guunyrh,1,1.0
osmo15sxd33p67wyn37zz5yn0jpheeq8kkdnvj4u6xy,2,2.0
osmo15tgdsn4te5rv3jtxk240lqz5n726029m3fwlyh,2,2.087116
osmo15urq2dtp9qce4fyc85m6upwm9xul30495qdm4l,13,13.000011
osmo15vsk7yhy3n03uamjac44ufwskwqzs2eg9teqcw,1,0.150817
osmo16336nwqm9qdq0h9hnsaldm6eqn746tm0jpyp78,1,0.149528
osmo163kjqgwuwljat2ul5wa9vwez8vzwfr4ygytar2,1,1.0
osmo165h0cw37k9lv4y6c5z25qfus00a76nra6mux9d,1,0.921107
osmo166rntwn043sj8xpkdwvrk6grts7e55k5uwvquv,1,1.009963
osmo1675luqzzd4l4vy3n3hrwlsw587855fp5dz56h5,1,0.30292
osmo167zkszf5qhwwkfkvy2dkcsyqqd7fge2h7s74ec,2,0.929403
osmo1682fv98q8t44yhrgzapz79lzzgdfp2mwapw3yg,1,1.0
osmo16862syzdtc6h0sxz92jhnjjas5yhhjgz8v7dxc,2,0.008331
osmo1696qscgzpma5jr69un5ddd3s3c5028u9gemqtd,1,0.948655
osmo16a24tysqtre4234lafk75ptawyr4yqwp33z895,1,1.0
osmo16cqwm38yhwggwt872swg63jh5vltd0fvh8tgau,1,1.0
osmo16ff95ps68m9zr6gngs3rt442jr6079dyaexp9c,1,3.106733
osmo16jx83655usvn9d7pve3l370929ud982eaq78e8,1,0.735844
osmo16k579jk6yt2cwmqx9dz5xvq9fug2tekvjnz9hd,10,10.0
osmo16l5jk2m9mkfhe862wyfx5dyz57vrf056yvkuxj,1,1.00835
osmo16l5mcp4ar7cl646r6nmy8q7f5ujzxxde7h3pew,1,1.0
osmo16nsxy6mwevx2lj8z8jfrphy0x4d9zpc8v9yqyt,1,0.424268
osmo16qzf44cpkgy86xfs4h3fxhaec693k7lgc0k0g0,5,5.0
osmo16r39ghhwqjcwxa8q3yswlz8jhzldygy66vlm82,2,42.222877
osmo16sknqh6mfamcymz5pjc4pe9xg0zrl8pruxuanc,4,2.0
osmo16sp25c8jvcs54atlkvmmaum05yu7r6l6mlyr2g,2,1e-06
osmo16txl4ftqww3n5uqdhrd89smwfatqnhd704qq3w,2,2.0
osmo16vgnvukm5w4np3d5lsw79r96qfan7m8rrcwada,1,4e-06
osmo16vvf4hjqjarfyy92hpkm4jtde7sxydn2sxl75f,1,0.420201
osmo16w2zra2jd8lvul3kaftdjgypntg34qh2qkgecn,1,1.0
osmo16x03wcp37kx5e8ehckjxvwcgk9j0cqnhm8m3yy,4,6.924326
